iter	Logloss
176	0.4695290283
177	0.4690938463
178	0.4686930368
179	0.4681897711
180	0.4675819719
181	0.4670987665
182	0.4667822183
183	0.4662990271
184	0.4660840809
185	0.4657475271
186	0.4652109826
187	0.4646888121
188	0.4642862134
189	0.4639440325
190	0.4635551157
191	0.463290058
192	0.4631077309
193	0.4626109067
194	0.4621944563
195	0.4621021529
196	0.4617372304
197	0.4612928332
198	0.4607942546
199	0.4604016562
200	0.4600006154
201	0.4596215949
202	0.4592398284
203	0.4588088519
204	0.4584445785
205	0.4580969905
206	0.4579074993
207	0.4575141963
208	0.4572731886
209	0.4570249143
210	0.4569057807
211	0.4566829487
212	0.4562392905
213	0.4557327158
214	0.4554714304
215	0.4551937857
216	0.4549715296
217	0.4545169673
218	0.4541277789
219	0.4537914399
220	0.453281918
221	0.4527872154
222	0.4525720728
223	0.4523129699
224	0.4519938459
225	0.4515838202
226	0.4511179281
227	0.4505866135
228	0.4504422853
229	0.4499748547
230	0.449590533
231	0.449234271
232	0.4489262918
233	0.4484212095
234	0.448232373
235	0.4478404199
236	0.4473855591
237	0.4469344381
238	0.4466285205
239	0.4462455112
240	0.4459721777
241	0.4456370969
242	0.4454339028
243	0.4451079594
244	0.4448376794
245	0.444490204
246	0.4441204163
247	0.4437739449
248	0.4432800869
249	0.4429049476
250	0.4426006723
251	0.4423492605
252	0.4419798876
253	0.4415412318
254	0.441140668
255	0.4407939867
256	0.4405651335
257	0.4401479704
258	0.4398515367
259	0.439795907
260	0.4394685396
261	0.4389614388
262	0.4385264838
263	0.4381507024
264	0.4378219257
265	0.4374286541
266	0.437053448
267	0.4367576128
268	0.4364640279
269	0.4362057515
270	0.4359262934
271	0.4355940072
272	0.4350967371
273	0.434793314
274	0.4344818753
275	0.4340650658
276	0.4337304449
277	0.4333111951
278	0.4329715158
279	0.4324959694
280	0.4323833661
281	0.4321061865
282	0.4318249325
283	0.4314247921
284	0.4311379853
285	0.4307779056
286	0.4304783369
287	0.4301602642
288	0.4296895964
289	0.4293250385
290	0.4290824866
291	0.4286233945
292	0.4282778808
293	0.4279283969
294	0.4276296309
295	0.4273453454
296	0.4271689536
297	0.4268494863
298	0.4266720278
299	0.4266439119
300	0.4263203645
301	0.4259555481
302	0.4255841763
303	0.4255431744
304	0.4253045258
305	0.4250680815
306	0.424791065
307	0.4244026882
308	0.4239523576
309	0.4236322426
310	0.4233343634
311	0.4230652911
312	0.4227259027
313	0.4223947938
314	0.4223285677
315	0.4219533682
316	0.4216365434
317	0.4212347007
318	0.4209327583
319	0.4206399384
320	0.4203628411
321	0.4200646503
322	0.4196566866
323	0.4192963226
324	0.4189379402
325	0.4187079094
326	0.4184534201
327	0.418051956
328	0.4177256781
329	0.4175287372
330	0.4173082224
331	0.4169820364
332	0.4164637652
333	0.4161390733
334	0.4158269361
335	0.4156200883
336	0.4152990096
337	0.41493814
338	0.4147284878
339	0.4143486015
340	0.4139337617
341	0.4136396427
342	0.4133810747
343	0.4131404999
344	0.4129308448
345	0.4125220902
346	0.4121990998
347	0.411998379
348	0.4117494067
349	0.4112552741
350	0.4109704792
351	0.4107409049
352	0.4103583385
353	0.4101041543
354	0.409760183
355	0.4094668461
356	0.4091001456
357	0.4087811327
358	0.4085855324
359	0.4082574022
360	0.4081498445
361	0.4077720519
362	0.4075202402
363	0.4073435998
364	0.4070642075
365	0.4067939337
366	0.4064287123
367	0.4061017709
368	0.4057546265
369	0.4054585862
370	0.405226802
371	0.4049294039
372	0.4044722947
373	0.4041265993
374	0.4036950097
375	0.4034887553
376	0.403412027
377	0.4030709991
378	0.4029432177
379	0.40258811
380	0.4024528329
381	0.4020830301
382	0.4019317622
383	0.4016323367
384	0.4014709611
385	0.401134002
386	0.4007621648
387	0.4003804886
388	0.4000571959
389	0.3996660298
390	0.3994345035
391	0.3990779194
392	0.3986947422
393	0.3985235376
394	0.3982771697
395	0.3978397842
396	0.3975632522
397	0.3972809326
398	0.397020652
399	0.3966928758
