iter	Logloss
0	0.6673873948
1	0.6483225796
2	0.6293654327
3	0.6153169958
4	0.604303557
5	0.5931828271
6	0.5828624093
7	0.5757026913
8	0.5700860657
9	0.5652922341
10	0.5613073196
11	0.5571616903
12	0.5537121605
13	0.5507397308
14	0.5487585216
15	0.5464741871
16	0.5440704869
17	0.5412694784
18	0.5399952921
19	0.5384308674
20	0.5365323006
21	0.5358798126
22	0.5352300661
23	0.5347300322
24	0.5333873773
25	0.532838219
26	0.5318368231
27	0.5312457052
28	0.5305200885
29	0.5300061583
30	0.5285048522
31	0.5279734148
32	0.5267077169
33	0.525979893
34	0.5252184862
35	0.5247254666
36	0.5241404414
37	0.5236094132
38	0.5230519587
39	0.5226562983
40	0.5222599582
41	0.5217276781
42	0.5213654443
43	0.5209038862
44	0.5204983732
45	0.5200016599
46	0.5195012319
47	0.5189771309
48	0.5184853203
49	0.5181775867
50	0.5177471536
51	0.5174121342
52	0.516652904
53	0.516365279
54	0.5160994208
55	0.5158615197
56	0.5154707291
57	0.5151003845
58	0.5146156795
59	0.5142507041
60	0.5136325203
61	0.5133044022
62	0.5129344845
63	0.5126162683
64	0.5122439235
65	0.5119143608
66	0.5117356191
67	0.5114463148
68	0.5109853949
69	0.5104850307
70	0.5101937671
71	0.5097285294
72	0.5093438365
73	0.509000298
74	0.50868013
75	0.5084502759
76	0.5080546924
77	0.5077056259
78	0.5072723878
79	0.5067971586
80	0.506551916
81	0.5061800234
82	0.5058982743
83	0.5055851287
84	0.5051973272
85	0.5048683915
86	0.504590763
87	0.504207799
88	0.504020489
89	0.5032629058
90	0.5030058817
91	0.5027520694
92	0.5023280294
93	0.501937537
94	0.5017643524
95	0.5014565238
96	0.5010241123
97	0.5007152639
98	0.500446953
99	0.4999728171
100	0.4997617568
101	0.4995495926
102	0.4991864518
103	0.4987345761
104	0.4984760193
105	0.4980746562
106	0.4978193215
107	0.4973357339
108	0.4970153869
109	0.4965939193
110	0.4962031919
111	0.495768449
112	0.4954360545
113	0.4951186858
114	0.4947312021
115	0.4944844493
116	0.4941745356
117	0.4938724241
118	0.4933682093
119	0.4927757657
120	0.4923655755
121	0.4920340298
122	0.4917324731
123	0.4911670002
124	0.4909336836
125	0.490660861
126	0.4902365623
127	0.4899945872
128	0.4895581785
129	0.4892824149
130	0.4889139445
131	0.4882714764
132	0.4878030792
133	0.4875534594
134	0.4871542365
135	0.4867917354
136	0.4865991157
137	0.4861228877
138	0.4854835121
139	0.4850654279
140	0.4847057874
141	0.4844686703
142	0.4840763322
143	0.4835599543
144	0.48312176
145	0.4828820848
146	0.4824083493
147	0.4819205246
148	0.4816602466
149	0.4809654392
150	0.4805634756
151	0.4799942539
152	0.4790870463
153	0.4785981972
154	0.4781368691
155	0.4776136695
156	0.4773447406
157	0.4769584871
158	0.4765272356
159	0.4761561561
160	0.4756354399
161	0.4749513585
162	0.4746815193
163	0.4742752379
164	0.473955589
165	0.4736030284
166	0.4730778575
167	0.4729002426
168	0.4726229787
169	0.4722099434
170	0.4718426703
171	0.471398017
172	0.4710149781
173	0.4706335447
174	0.4701797658
175	0.469941076
